,Aeu,Bab,Bal,Bfa,Bhy,Blu,Bra,Bse,Cal,Cca,Dbe,Dli,Del,Dgi,Dmc,Dmi,Dmu,Dna,Dwe,Eov,Esp1,Esp2,Ila,Lfs,Lfu,Llb,Llt,Lme,Lmy,Lpo,Ocu,Pat,Pce,Pcu,Pdi,Pma,Pmy,Pna,Ppl,Pte,Ptt,Ror,Rsc,Sal,Sar,Sbe,Sfs,Sfu,Sha,Sli,Spe,Spr,Ssi,Str,Sty,Tme,Tve,locality,hydroperiod,area,depth,lat,long,nvt,arbust_veg,arbor_veg,position_bi,dist_to_forest,position,canopy_cover,canopy_cover_cat,ecoregion
species_names,Aplastodiscus eugenioi,Boana albomarginata,Boana albopunctata,Boana Faber,Bokermannohyla hylax,Boana lundii,Boana raniceps,Boana semilineata,Chiasmocleis albopunctata,Chiasmocleis carvalhoi,Dendropsophus berthalutzae,Dendropsophus elianeae,Dendropsophus elegans,Dendropsophus giesleri,Dendropsophus microps,Dendropsophus minutus,Dermatonotus muelleri,Dendropsophus nanus,Dendropsophus Werneri,Elachistocleis ovalis,Elachistocleis sp1,Elachistocleis sp2,Itapotihyla langsdorffii,Leptodactylus fuscus,Leptodactylus furnarius,Leptodactylus labyrinthicus,Leptodactylus latrans,Leptodactylus mystaceus,Leptodactylus mystacinus,Leptodactylus podicipinus,Odontophrynus cultripes,Pseudopaludicola atragula,Physalaemus centralis,Physalaemus cuvieri,Phyllomedusa distincta,Physalaemus marmoratus,Pseudopaludicola mystacalis,Physalaemus nattereri,Pseudis platensis,Pseudopaludicola ternetzi,Physalaemus atlanticus,Rhinella ornata,Rhinella schineideri,Scinax alter,Sinax argyreornatus,Scinax berthae,Scinax fuscovarius,Scinax fuscomarginatus,Scinax hayii,Scinax littoralis,Scinax perereca,Scinax perpusillus,Scinax similis,Scinax trapicheiroi,Scinax tymbamirim,Trachycephalus mesophaeus,Trachycephalus venulosus,,,,,,,,,,,,,,,
IC12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Icém,1,600,0.55,-20.363333,-49.193333,3,1,1,0,129,0,0,0,SSF
NI1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Nova Itapirema,1,580,0.7,-21.078056,-49.538889,2,1,0,0,821,0,0,0,SSF
NI2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Nova Itapirema,1,300,0.7,-21.075833,-49.539167,1,0,0,0,834,0,0,0,SSF
NI3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Nova Itapirema,1,166.4,0.65,-21.081111,-49.519167,2,1,0,0,56,0,0,0,SSF
NI4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Nova Itapirema,1,800,1.5,-21.073611,-49.518889,2,1,0,0,36,0,0,0,SSF
NI5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,Nova Itapirema,0,704,0.7,-21.077778,-49.539722,2,1,0,0,733,0,0,0,SSF
NI6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Nova Itapirema,0,32,0.4,-21.078889,-49.538889,2,1,0,0,824,0,0,0,SSF
NI7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Nova Itapirema,0,67.5,0.4,-21.073333,-49.518889,2,1,0,0,64,0,0,0,SSF
NI8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Nova Itapirema,1,58.5,0.27,-21.074444,-49.520556,2,1,0,0,12,0,0,0,SSF
MD1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Morro do Diabo,1,900,0.3,-22.616944,-52.169111,1,0,0,0,25,0,0,0,SSF
MD2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Morro do Diabo,1,2000,1.5,-22.3695,-52.328611,2,1,0,0,22,0,0,0,SSF
MD3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Morro do Diabo,1,10000,2.1,-22.451028,-52.345361,3,1,1,0,0,1,0,0,SSF
